name,date,title,review,rating,entity,review_history
Nouran Talaat,2020-01-03T21:33:11Z,I made an order number 455096578 on…,"I made an order number 455096578 on their 26th of November, and my order isn’t delivered till now !!

First I waited for the first 3 weeka and then after sending a lot of emails they told me the order was lost, and you can replace or cancle it now . So I asked them to replace it but to a new address as no one is now in the old address in Saudi as my husband left the country . And I emailed them the new address in paris and they confirmed . They proceeded with half of the order as the sizes were out of stock. And they send the package again to Saudi Arabia . And I sent many emails telling them that this address is wrong they still refused to cancle or refund me the order . And untill today I still didn’t get the order . Honestly worst customer service worst delivery experience worst communication ! A month and I can’t get and order or have someone communicate and solve the problem .",1,ASOS,1
Parcelless_again,2020-01-03T11:10:40Z,ASOS going more and more downhill,"The customer service of ASOS and the other agencies they use are really bad. I pay for premium delivery but have on multiple occasions had problems receiving orders on time, getting the correct sizes and having missing items in my parcel. ASOS tries to scapegoat DWP for problems but it was them I was on live chat with for 45 minutes being told I had to get back in touch after midnight if I wanted to carry on trying to track down my order. I had to repeat 3-4 times that I wanted a refund before I was offered one. Service was excellent a few years ago, these days they really couldn't give a hoot if your a loyal customer or not.",1,ASOS,1
Sharvani Bell,2020-01-03T11:09:58Z,My delivery hasn’t shown up,"My delivery hasn’t shown up after several days after I paid for next day delivery. Was advised that I have to wait up to 7 more days to chase Hermes and sort this, even after I explained my circumstances above. 

No effort to help or get things sorted by the Advisor. Not happy at all.",1,ASOS,1
Angela Orlando,2020-01-03T20:19:21Z,Very disappointed in the satisfaction…,"Very disappointed in the satisfaction of resolving this issue!!!! My daughter was sent the wrong dress and instead of them sending the right dress i have to reorder!!!!
What kind of service is that! Told me to send back the wrong dress. So I guess I have to pay postage!!!! I already paid extra to have it shipped!!! Really Asos!!!!!
Not happy with service!!!!",1,ASOS,1
Emma,2020-01-03T19:47:56Z,Absolutely no explanation for why my…,Absolutely no explanation for why my parcel didn't turn up 3 times in a row. Ordered over a month ago for next day delivery that never arrived. Requested replacements that still never arrived. In the end I had to request a refund but before doing so I tried to communicate using Facebook chat as promoted on the website but didn't even get the courtesy of a response. The customer service team on the Gnatta chat facility aren't particularly sympathetic either. Really poor.,1,ASOS,1
Sharon De Sousa,2020-01-03T10:40:13Z,I bought my husband a hollister jumper…,"I bought my husband a hollister jumper for xmas, from ASOS a site that I use very frequently. Unfortunately the jumper had 2 holes in the middle of it, above the pockets and were very noticeable. I got in touch with ASOS and advised them if this, and their response was to send the package back to them for a refund. This mistake was no fault of mine and is now a big inconvenience for me to have to package and return the item to get my money back.",1,ASOS,1
Toni,2020-01-03T10:36:28Z,Disgraceful ' delivery and service'!!!,"My order was 'delivered' on 28th Dec, left on the side of the road!! I knew I would be home late that day so specifically stated please leave it in my safe porch! The delivery driver threw it on the side of the road, took a photo of it, and told me it was in a safe place!? I was horrified! I got home in the evening and hunted high and low in the dark along the whole road with NO sign of my parcel! I have continually texted, emailed and phoned ASOS but with NO definitive answer! I am SO angry by such appalling service and conduct!!! 3rd January and I'm still waiting for a reply from ASOS! Disgusting!",1,ASOS,1
Robert Salazar,2019-12-28T20:01:21Z,Horrible!,Horrible. Ordered on Dec 15 and “despatched” on 16th with estimated delivery shortly after. Package still in transit. Will never use again and trying to connect with them or UPS is a maze of hell,1,ASOS,1
Abbi ,2019-12-28T19:30:38Z,"Absolutely shocking, will never use ASOS again😡","I placed an order on the 7th December for some presents for Christmas. I received an email on the 17th to inform me that my order had been dispatched and I could track it using the Yodel Link provided.  It got up until Christmas Eve and I still had not received my delivery. After trying all day I finally got through to someone on the live chat who said there had been issues with the courier and he would reorder my items and I would receive an email with an update within 48 hours. Panicked that the presents were now not coming, I had to go out Christmas Eve and buy replacement presents.
I then received an email on Boxing Day stating that not all of my order could not be fulfilled.
I phoned ASOS to find out what was going on, only to be told my parcel had never been dispatched as it ‘is a very busy time of year’. I couldn’t believe what I was being told and requested a manager called me back the following day to explain what on earth was going on, seeing as they had taken my money on the 7th and never even dispatched my package!!!!
Surprise surprise no call back from ASOS.
Then on Saturday 28th I received a call from a supervisor claiming that the parcel had in-fact left the warehouse but somehow it had disappeared! Unbelievable.
I will never be using ASOS again.",1,ASOS,1
Mayank ,2019-12-30T04:15:58Z,Pathetic response from ASOS basically no solution…,Pathetic response basically no solution we are busy.....:26th Dec within NZ will be delivered on 9th Jan. What a turn around time...,1,ASOS,1
Edona Staka,2019-12-29T22:25:10Z,I’m very disappointed!,"I’m very disappointed!
I ordered a pair of boots on december 13 and it’s december 29 today and they haven’t arrived yet while estimated delivery was on december 27.
Really,shame on you!
I truly regreted trusting Asos! 
It takes days for the order to arrive in Italy like is is the end of the world!",1,ASOS,1
Alex Brown,2019-12-29T21:15:43Z,Poor experience,"I had a very poor recent experience the week before Christmas resulting in me needing to try replace whole order. Poor customer care and communication.
Placed order
Received email to state order dispatched
Order never arrived
Advised of error but would re-send
Sent someone else’s order
Further advised original order would now be sent
Part of order now out of stock
Email complaint
Never acknowledged",1,ASOS,1
Mitchell Kristie,2019-12-29T20:52:07Z,I didn’t receive my order and it’s like…,I didn’t receive my order and it’s like pulling teeth to get this resolved,1,ASOS,1
MN,2019-12-31T22:00:44Z,"Endless product, delivery + service issues","I used to love ASOS. Obviously, you're not getting the best made products, but stylistically they are above and beyond the best in fast fashion. However, I've had nothing but endless problems in the past couple of years. Issues with their products, delivery, things arriving damaged, and above all their lack of customer service when attempting to address these issues. In the past few deliveries, some of the issues I've encountered have been..

-- Sending back over $250 worth of clothes (with their return label and in ASOS packaging) and being told they never received them. I was out $250 and no clothes to show.

-- Most recently, received a package full of clothes covered in a skincare product I ordered from them which was put in the package with zero protection. The bottle broke and leaked all over the clothes.

-- Consistently I've paid for next day delivery and it does NOT arrive the next day. This is particularly annoying / upsetting when I'm sending friends and family birthday gifts from abroad.

Obviously things happen, but what really disappoints me me is ASOS's complete lack of customer service. I've not so much as received a discount code, a 10-20% back for the constant inconvenience/damaged order... OR worst of all, an apology.

Get your act together ASOS. You've lost a decade long customer.",1,ASOS,1
Hannah Tanuto,2019-12-31T18:04:43Z,Dissatisfied,"Don’t even deserve a star for your rubbish customer service & delay. Lost a loyal customer!!! Full order didn’t receive, didn’t get an email in regards to it. I email them to let them know & didn’t get a proper response till a week later, only to say that most of my items are now out of stock. Ask for refund as it’s now taken them over a month to send my order, they said no cause the order has been packed, yet 3days later & still haven’t received an email about it being dispatched!!! Never buying form ASOS again, my experience has really put me off from future purchases.",1,ASOS,1
Consumer,2019-12-27T13:54:04Z,Worst customer care team,I ordered my parcel and paid for next day delivery so it would be here on Xmas eve in time for Christmas. I left delivery instructions for the parcel to be left in the porch. The dpd driver Harnek  didn’t bother to read the instructions left for the driver and decided to take a picture of my drive. I assume he didn’t even get out his van as there was no sorry we missed you card just a text sayin your delivery won’t come until after Christmas. I tried calling multiple numbers which were all automated voices and no help I phoned ASOS direct and got put on hold then hung up on. I was told I can’t collect it from their depo as the delivery address on my ASOS account had my partners name on with the same address. So after trying everything I could to receive this parcel I gave up as not one person seemed like they wanted to help. I had no choice but to wait for my parcel to be delivered today then get a text today (Friday 27th) saying your parcel will be delivered on Saturday 28th! I did not request this and this is now becoming extremely frustrating. I phoned ASOS to see why this has changed and they put me on hold then hung up on me. I phoned dpd and they told me they can’t help my parcel won’t come today and that ASOS has changed the delivery to tomorrow. I can not be bothered to be put on hold for ages then get hung up on or speak to people that have no intentions to help this is the worst customer care team I’ve ever spoken to and it’s such a shame as I did like ordering from ASOS but after this I won’t be and will send my items back.,1,ASOS,1
Majlinda,2019-12-27T13:13:40Z,You guys are ridiculous I am never…,You guys are ridiculous I am never using you again I hope you know that ! You lost my dress then can’t even replace it !!!! And I ordered it 2 months ago !! And can’t even offer compensation!! I don’t even care about the compensation as much as I do the dress. I love that dress and can’t believe you guys took so long to replace it that it sold out. I told you yes replace it and you continued to keep messaging me asking if I want a replacement then it was sold out. Ridiculous!!! Poor poor customer service I can’t believe it.,1,ASOS,1
Yang Carterina,2019-12-27T12:51:39Z,This is my first time to shop on ASOS.,"This is my first time to shop on your website. I ordered on 29th, Nov. 2019. Today is 27th, Dec. 2019. I still didn't receive my package. It is really crazy.",1,ASOS,1
Mayan Fattouh,2020-01-02T04:33:39Z,customer care are not helpful at all,"customer care are not helpful at all
my package wasn't delivered it was overdue date
and it was sent with untraceable number which i didnt request.
i dont recommend it to anyone.",1,ASOS,1
Chiara ER,2019-12-31T08:30:36Z,your customer service is a joke,"Is taking 2 weeks to receive two invoices I requested as urgent because people don’t even bother to check if they are following the right procedure and to do the job they get paid for.
As result, I could have some clothing expenses refunded by my company as uniform but because of your appalling customer service I’m now losing that money.
What a joke.",1,ASOS,1
Jenna,2020-01-02T00:38:15Z,If you ask for a refund,"If you ask for a refund, even if you return the wrong item they sent to you, they BLOCK you from their order system and you can't order again from them. This a real SHAME. I don't know why e-shops like you and DP have this strategy, but be sure that you are going to lose many clients in this way. You make the mistake but you block us from shopping again from you: paranormal, isn't it?",1,ASOS,1
John Cooke,2019-12-31T07:58:23Z,As other people have stated,"As other people have stated, I have ordered 2 next day delivery parcels, and received one, the other has not arrived in 3 days. All customer service has to say is to wait in a rather patronising way. I have waited and still no sign of me order, would rather be told its missing than have to sit here listening to the same response to wait until the end of the day, conveniently at a time in which its impossible to do anything about the order as it will be too late.",1,ASOS,1
George,2019-12-31T07:41:41Z,"Order missing, ignored by customer service","Ordered 2 parcels on the 26th of december, one arrived next day as expected no problem.however I'm still waiting for my 2nd order.

No response from customer services, very unhappy and will cancel my asos premier subscription.",1,ASOS,1
Taree Reardon,2020-01-01T20:52:19Z,Shipment Not Received,"I am very disappointed as my shipment was not delivered on time, and as of today still hasn't been delivered at all. The representative I spoke with on 12/30 swore that the package would be delivered yesterday (12/31) even though FedEx had already confirmed that the package was lost. The representative refused to do anything to assist me, and the package wasn't delivered. 

Today I spoke with a differed representative who was better, however he advised me that I would need to pay for expedited shipping on future orders in order to receive them on time. The delivery date I received when I ordered was 12/31/19, and when the package initially shipped it had a delivery date of 12/27/19 before it was lost. I shouldn't have to pay extra for shipping just to receive my item. I don't think I will be ordering from your company again and will advise others not to as well.",1,ASOS,1
Sagi Sharon,2020-01-03T09:29:07Z,NEVER ORDER PRODUCTS FROM ASOS!!! BE CARFUL!!!!!!!,"Don't buy from them-
Unprofessional service and store!!!

 I bought two products on black friday from Asos. After more then a month, when I asked the costumer service to find out why is the delivery is taking so long- they told me that there' s been a problem with the delivery and my two orders cancelled and I'll get a refund.

That is basically just the person and compeny that should give you the products that you've been waiting for, just telling you-
""No products. And we don't care, just take the refund"".

When a store doesn't give you any of the product that you ordered- you realize it is unprofessional.",1,ASOS,1
Sohema Patel,2020-01-03T19:17:18Z,I am really unhappy with the service…,"I am really unhappy with the service received. I requested an exchange and was given a refund. I purchased an item on Black Friday so I lost the discount price now! 
I’ve emailed them prior to returning for exchange and followed the advice given.
I then wrote to them several times and got robotic replies about the item being out of stock when I regularly checked on the website and was able to put it in my basket. 
I’m soooo dissapointed and feel like I was played by Asos. Was offered a 15% discount but that doesn’t even cover half discount I had. I asked for it to be matched but was refused. 
Communicating has beeeeen sooo hard with ASOS. Chats takes ages and emails have really delayed responses. 
I don’t blame people for abusing retailers like Asos. I Was honest and followed procedures but I lost out. 
I learnt.",1,ASOS,1
Lori Albanese,2019-12-29T20:34:16Z,so i send a package with 4 items,"so i send a package with 4 items, i get credit for 2 items only and Poppie is saying to show her proof of postage. i did not take a pick of your label since i have premier.  so i paid for the 2 items, returned them and you def got them because you credited me for the $131 dress and the $57 shirt but ZERO for the other 2 items.  Before she rudly ended our chat, her last words were please send me the proof of postage and i will look into it for you EVEN tho i already told her i did not nor never take pics of the return label.  Very horrible customer service.  Make me wonder how many times i sent things back and never got refunded for them by Asos!????",1,ASOS,1
Daric Carvajal,2019-12-29T20:17:05Z,Package was never received and no…,Package was never received and no refund was given when guaranteed delivery was a week ago. Still no sign of package. FedEx issued a claim and told me it was lost and ASOS did not issue me a refund.,1,ASOS,1
Shah,2019-12-29T16:17:37Z,ASOS are shameful,"Not happy at all, ASOS clearly are interrogating customer with stupid question.

Ordered a coat was not at home, parcel was signed for by me with a scribble, then got a slip from Hermes(worst ever courier company in existence) stating the item was left inside the bin, clearly I didn’t advise ASOS or Hermes to do this.
Got an email from ASOS today asking me to confirm I’ve not received anything, when clearly they got the proof, the s##t has hit the fan",1,ASOS,1
Orla Ní'Néill,2020-01-02T18:27:47Z,"Horrific, will never use again","I have on multiple occasions ordered items from ASOS. On the first few occasions I used the standard delivery and discovered that this takes 2 weeks! Every time! I then tried next day delivery, paid for the year of premier delivery and even using this it wouldn’t be dispatched from ASOS themselves for about 2/3 days on average after ordering! The next things I ordered I ordered the same day about 10 minutes apart from Adidas and  Tommy Hilfiger, I have since received and returned some items from both Adidas and Tommy Hilfiger with no sign of my ASOS package, two weeks post order. This will be my last ever order from ASOS. Their own brand clothes may as well be paper and they have never responded in a timely manner when I contacted customer service, it took them 4 days to respond to my query after I received the wrong item.",1,ASOS,1
Naomi French,2020-01-02T18:08:03Z,Terrible Customer Service. Shop at Nordstrom instead.,"The customer service is the worst of all brands I shop with. The returns process is a mess and I've had returned items show as delivered to their warehouse that they can't track down for months and then it took another month of fighting with customer service to get a refund. Apparently Asos has no way of tracking your returns using their included return shipping label and they take forever to process returns so if you return a package within the returns window, but they dont process your return until after the window is up, they'll deny your refund. You always have to have proof of when your return was delivered to their facility. The customer service is a mess so even in the same email thread you'll talk to a different person every time and they have a hard time keeping track of your situation. You can't escalate an issue whatsoever and there is no phone number to call to actually speak to someone. My last order said everything was delivered, but was missing an item. The inventory selection is nice, but if you have have any order issues whatsoever or want to return anything you're in for a real nightmare. Save yourself the hassle and shop somewhere that actually has customer service, like Nordstrom.",1,ASOS,1
Silvia Stanciu,2020-01-02T17:42:54Z,I haven’t recieved  my delivery,"I haven’t recorded my delivery, which was due on the 23rd. I paid for next day delivery only to wait for 2 weeks for Asos and DPD to carry out an investigation for a parcel that was obviously delivered to the wrong place and signed by the wrong person. There is proof for it, still, they have to investigate, not making me chase something I paid for to recieve the mest day, but also telling me the delivery company doesn’t consider themselves liable and I might have to pay for something someone else recieved. Can’t put into words how disappointed I am.",1,ASOS,1
משי קורנפלד,2019-12-28T16:13:56Z,You should be ashamed of yourself,You should be ashamed of yourself ! Im done with ASOS done!!,1,ASOS,1
D,2019-12-28T13:13:19Z,THE worst customer service,"I had THE worst experience with ASOS this last order.
My order never showed up and I couldn’t get a hold of anyone to help make it right FOE A MONTH.
$144 is a lot of money to spent on winter essentials to not even have them. I chose ASOS on Black Friday over other stores and I wish I would have chosen another place to give my business so I could have the items in a timely manner.
People took DAYS to respond to my emails (which is THE only way to communicate with them apparently).
After a month of trying to get my items they finally gave me my money back. Thank goodness because that was the ONLY close to good thing to come out of this. So basically, my money was basically held hostage for a month and I got nothing to show for it. They didn’t even offer me a discount code or anything.",1,ASOS,1
Harry,2019-12-28T12:54:49Z,Customer Care is terrible,"I enjoy shopping from ASOS. There’s good prices and usually I have no problems. However, recently I ordered an item and payed £5.95 for next day delivery. The item arrived today and when I opened it I realised that it was completely different to what I ordered. As I payed for next day delivery you can see my frustration with this issue.

I decided to speak to customer care to see what could be done about this and I spoke to an assistant called NIMAT. I explained the situation and was told that I needed to return the item and a refund would be given to me. I then asked how long this would take and was told 7 days and I would receive the refund after it has been spent back. Then I told them how much it was including shipping. However, I was then informed that I would not receive a refund for the delivery my order “was delivered on the estimated date”. Which it was, but my order wasn’t delivered... an item that was nothing to what I wanted was delivered. So anyone would expect a full refund as the issue was caused by the supplier. I explained this to NIMAT and was just told the same thing.

I wanted this item for New Years and now because ASOS made a mistake I won’t have it now for that time. I’m well aware this may sound petty but it’s not the fact that I won’t receive my money or the fact that I have to go out of my way to return the item, it’s because ASOS has a duty of care to all its customers and I feel like today that wasn’t met. 

I hope that no one else has to go through this and I just wanted to share my experience so people can understand. Finally, probably the thing that annoyed me the most was that NIMAT who was supposed to be there to help with my issue ended up ending the chat when I tried asking him another question.",1,ASOS,1
EWilks,2019-12-28T12:39:30Z,Long delivery time,"Frustrating experience recently after many positive orders placed with ASOS. 
Item ordered on 9th December. Still waiting for delivery and it's now 28th December. 
Been in contact with ASOS live chat a few times. Just keep getting told to wait longer (now 31st) due to processes out of their control. No replacement offered until then apparently.",1,ASOS,1
FREE727,2020-01-02T16:25:57Z,Want to give no stars but wont let me,Want to give no stars but wont let me. Missing items in my order 2 pairs of trainers total cost £140. Contacted to tell them about missing items asked if I wanted s refund or replacement.  Said replacement as yoh haven't sent them.  Latter that day recieved an email stating account blocked and advising to seek refund through payment provider.  I have tried to contact customer care on numerous occasions explaining that bag was not big enough for two pairs of trainers and the trainers are out of stock on website but they are not interested.  I understand that this is not an isolated case with ASOS.  I wonder how many people it has fraudulently taken money from and not supplied goods.  I am now waiting to see if my card company will reimburse my money but even if it does this is scandalous. Set of thieving bs,1,ASOS,1
M,2019-12-31T16:58:59Z,I have ordered the dress I wanted twice…,I have ordered the dress I wanted twice and I have been sent the item wrong twice. I have also received no compensation for this and this dress was for an upcoming work event and being a student can not afford to order a dress twice and then send the package back to then wait a long time for a refund. Asos has dissapointed a lot l.,1,ASOS,1
nicole smith,2019-12-31T15:36:36Z,ASOS sends used items,ASOS sent me worn shoes and refused to refund the order. Worst customer experience I have had with ASOS since shopping with them for ten years. I believe ASOS racially profiled me and refusing to refund my order.,1,ASOS,1
Cameron AH,2019-12-31T15:19:09Z,Ordered to a local collection point. Order not received and returned. NO REFUND,"Ordered to a local collection point. 

Got tracking updates to say it was returned to the send 3 times. Never dispatched to the collection point. 

Quiried this with customer services and they told me to wait a week... eventually got an email to say they have received my “returned items” and they will process a refund. 

Still no refund. Customer services themselves don’t know what’s happened. Ridiculous. To re order my items will be the exact same price and offered no incentive to return of which I will not.",1,ASOS,1
Tal Peri,2019-12-31T15:03:21Z,I wish i could rate zero stars,"I there were zero stars i would do that. The costumer care team has no responsibilities, no options, they don’t answer directly on what they are asked about. It wouldn’t surprise me if i found out i am actually talking to robots. Ridiculous. Would never recommend asos to anyone ever again. Would never use asos ever again.",1,ASOS,1
ליטל סייג,2019-12-31T14:31:13Z,I waiting more than 3 weeks for my…,"I waiting more than 3 weeks for my order, more than week until someone answers to my message on Facebook.",1,ASOS,1
Jasper Kangai,2019-12-30T12:20:33Z,Was so disappointed,"Was so disappointed,  because my order should have been delivered on the 23rd as promised.  I never got it. Just enquired today the 30th. Was told it didn't leave thier wharehouse. Only one with nothing to open for Xmas☺️",1,ASOS,1
Rollo Disco,2019-12-30T11:50:42Z,Rubbish Service,What is the point of paying for next day delivery if Items don't turn up and go missing. Terrible customer service.,1,ASOS,1
Alex,2019-12-30T11:19:45Z,ASOS Delivery Updates.,"Paying for a next day delivery order and being told two days later that there is a chance it would arrive today? Brilliant.

The customer advisor I spoke to was not apologetic one bit.
I explained to them that I had ordered it Saturday in time for Tuesday as I needed to use it then. Did he apologise and listen to my complaints?... NO.

He kept trying to redirect me to the Hermes website to contact them, not that the fact that I told them i've been trying to contact Hermes prior to contacting them mattered at all.

Useless and disregarding to loyal customers. I still don't get why Hermes are a legitimate company who claim they are one of the leading delivery services, ridiculous.",1,ASOS,1
Skirmante,2019-12-27T11:24:50Z,I needed to exchange the size of an…,"I needed to exchange the size of an item. With initial order I received 25% promo discount. To exchange the size, I need to return an old order and pay 8 Eur for return and re-oder the right size, however 25% discount was not re-applied. Which is totally unfair for the customer.",1,ASOS,1
Shannon Hanly-Jones,2019-12-27T02:55:34Z,Very disappointing and bad experience,"Very disappointing and bad experience. Ordered some shirts during black Friday sales, 6 Decemeber. As of 27th of December and multiple messages to asos about my package, I am  now told it was returned on the 21st. Asos won't re ship the package and have to process it before providing a refund, 14 days. Sales are no longer going so cant get the same deal. All I get from Asos is their policy over and over again. Used to get good service from Asos, not anymore.",1,ASOS,1
Nidy Diarra,2020-01-01T19:28:44Z,order not delivered on time,"ordered for new years eve and item was supposed to be delivered 31 december, i didn't receive the item and they tell me there is a delay with their shipping partners. i will get it on the 7th january don't relay on the next day delivery. very dissapointed",1,ASOS,1
Judy Melon,2020-01-01T15:27:46Z,Still not received my order and was made to feel I was a liar,"Brought a few items on next day delivery, items still have not arrived. When I contacted ASOS to advised them of this no compensation was offered, they did not care and the best thing they said they could do is check to see what happed. When they returned back to my conversation I was told a delivery was attempted. Now would I be contracting ASOS if I received my goods. I was made out to be a liar. Very disappointed and unhappy and still not received my goods.",1,ASOS,1
Jess,2019-12-30T23:35:08Z,Don’t bother,"No communication as to where your order is.

Don’t even bother messaging them on Facebook as they’ll ask you a question and even if you respond straight away it takes them another 24hrs before they reply. So it takes about 3 days to let them know there’s an issue and then god knows how many days to sort it.",1,ASOS,1
Ellie,2019-12-28T10:03:58Z,next day delivery,"Contacted Asos through Facebook chat to ask when next day delivery cut off was. They answered immediately with 11pm so I placed my order at 9:30pm as it was needed for the next day. After visiting twitter, I saw on their twitter feed that the cut off was 9pm. Contacted them to cancel the order or confirm that I would have the order the next day, to receive no reply on twitter or Facebook, even though they were replying to messages sent after mine. Managed to contact them via their online chat for them to say nothing can be done and that I had to wait for the order to be delivered before refunded even though it was their fault. Tried to email my complaint for it to bounce due to ‘inbox full’. Bad customer service.",1,ASOS,1
Miss.Barnes,2020-01-03T16:22:10Z,I ordered a dress and shoes and they…,"I ordered a dress and shoes and they sent me the wrong dress , it stayed it was midi on the packaging but it was clearly a maxi dress, I contacted asos and now the original item that I ordered for a special occasion is out of stock , not a good experience for using this company the first time , I wont be using them again that's for sure ,",1,ASOS,1
Sinead,2020-01-03T16:04:24Z,Over 3 weeks and still no closer to get…,Over 3 weeks and still no closer to get an exchange!,1,ASOS,1
Emma,2019-12-28T08:22:38Z,order didn’t arrive,"I ordered a present for my sister at the end of November, the present was supposedly delivered by Hermes they sent a text message to say the order had been delivered at 6.45 and signed for at the address. When I received the text both my husband and I were at home with our 2 children and not one of us heard the door. Soon as I received the text we checked in all the usual places and the order had not been received. This was on the 11th December. I sent a message to ASOS to confirm this information and after having to confirm my address and that I had checked and confirmed the parcel was not in any of the locations they asked for. I then had a second email asking to confirm these things again. I have finally had an email on the 27th December confirming that I will be able to receive a refund, hopefully this will be completed. I appreciate it is a busy period over Christmas, but I do not have the money especially at this time of year to buy 2 presents for my sister so she has now had no present from me on her 30th birthday. I haven’t had an issue with ASOS previously but I have been disappointed by the service this time.",1,ASOS,1
Shiri Rahimian Zylberman,2019-12-28T07:26:20Z,Worst buying experience,"It is already 2 month after I made the payment for a package from ASOS.
When I finally got the stuff 2 weeks ago things are missing
I am trying to get in touch with ASOS and all I hear is we investigate it
What about me ? What the about the things I ordered?
What about my money!",1,ASOS,1
